codepoint,character,name,ascii_replacement
U+00C0,À,LATIN CAPITAL LETTER A WITH GRAVE,A
U+00C1,Á,LATIN CAPITAL LETTER A WITH ACUTE,A
U+00C2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,A
U+00C3,Ã,LATIN CAPITAL LETTER A WITH TILDE,A
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,Ae
U+00C5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,Aa
U+00C6,Æ,LATIN CAPITAL LETTER AE,Ae
U+00C7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,C
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE,E
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE,E
U+00CA,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,E
U+00CB,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,E
U+00CC,Ì,LATIN CAPITAL LETTER I WITH GRAVE,I
U+00CD,Í,LATIN CAPITAL LETTER I WITH ACUTE,I
U+00CE,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,I
U+00CF,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,I
U+00D1,Ñ,LATIN CAPITAL LETTER N WITH TILDE,N
U+00D2,Ò,LATIN CAPITAL LETTER O WITH GRAVE,O
U+00D3,Ó,LATIN CAPITAL LETTER O WITH ACUTE,O
U+00D4,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,O
U+00D5,Õ,LATIN CAPITAL LETTER O WITH TILDE,O
U+00D6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,Oe
U+00D8,Ø,LATIN CAPITAL LETTER O WITH STROKE,Oe
U+00D9,Ù,LATIN CAPITAL LETTER U WITH GRAVE,U
U+00DA,Ú,LATIN CAPITAL LETTER U WITH ACUTE,U
U+00DB,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,U
U+00DC,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,Ue
U+00DD,Ý,LATIN CAPITAL LETTER Y WITH ACUTE,Y
U+00DE,Þ,LATIN CAPITAL LETTER THORN,Th
U+00DF,ß,LATIN SMALL LETTER SHARP S,ss
U+00E0,à,LATIN SMALL LETTER A WITH GRAVE,a
U+00E1,á,LATIN SMALL LETTER A WITH ACUTE,a
U+00E2,â,LATIN SMALL LETTER A WITH CIRCUMFLEX,a
U+00E3,ã,LATIN SMALL LETTER A WITH TILDE,a
U+00E4,ä,LATIN SMALL LETTER A WITH DIAERESIS,ae
U+00E5,å,LATIN SMALL LETTER A WITH RING ABOVE,aa
U+00E6,æ,LATIN SMALL LETTER AE,ae
U+00E7,ç,LATIN SMALL LETTER C WITH CEDILLA,c
U+00E8,è,LATIN SMALL LETTER E WITH GRAVE,e
U+00E9,é,LATIN SMALL LETTER E WITH ACUTE,e
U+00EA,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,e
U+00EB,ë,LATIN SMALL LETTER E WITH DIAERESIS,e
U+00EC,ì,LATIN SMALL LETTER I WITH GRAVE,i
U+00ED,í,LATIN SMALL LETTER I WITH ACUTE,i
U+00EE,î,LATIN SMALL LETTER I WITH CIRCUMFLEX,i
U+00EF,ï,LATIN SMALL LETTER I WITH DIAERESIS,i
U+00F1,ñ,LATIN SMALL LETTER N WITH TILDE,n
U+00F2,ò,LATIN SMALL LETTER O WITH GRAVE,o
U+00F3,ó,LATIN SMALL LETTER O WITH ACUTE,o
U+00F4,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,o
U+00F5,õ,LATIN SMALL LETTER O WITH TILDE,o
U+00F6,ö,LATIN SMALL LETTER O WITH DIAERESIS,oe
U+00F8,ø,LATIN SMALL LETTER O WITH STROKE,oe
U+00F9,ù,LATIN SMALL LETTER U WITH GRAVE,u
U+00FA,ú,LATIN SMALL LETTER U WITH ACUTE,u
U+00FB,û,LATIN SMALL LETTER U WITH CIRCUMFLEX,u
U+00FC,ü,LATIN SMALL LETTER U WITH DIAERESIS,ue
U+00FD,ý,LATIN SMALL LETTER Y WITH ACUTE,y
U+00FE,þ,LATIN SMALL LETTER THORN,th
U+00FF,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,y
U+0100,Ā,LATIN CAPITAL LETTER A WITH MACRON,A
U+0101,ā,LATIN SMALL LETTER A WITH MACRON,a
U+0102,Ă,LATIN CAPITAL LETTER A WITH BREVE,A
U+0103,ă,LATIN SMALL LETTER A WITH BREVE,a
U+0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK,A
U+0105,ą,LATIN SMALL LETTER A WITH OGONEK,a
U+0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE,C
U+0107,ć,LATIN SMALL LETTER C WITH ACUTE,c
U+0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,C
U+0109,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX,c
U+010A,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,C
U+010B,ċ,LATIN SMALL LETTER C WITH DOT ABOVE,c
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON,C
U+010D,č,LATIN SMALL LETTER C WITH CARON,c
U+010E,Ď,LATIN CAPITAL LETTER D WITH CARON,D
U+010F,ď,LATIN SMALL LETTER D WITH CARON,d
U+0110,Đ,LATIN CAPITAL LETTER D WITH STROKE,LETTER
U+0111,đ,LATIN SMALL LETTER D WITH STROKE,letter
U+0112,Ē,LATIN CAPITAL LETTER E WITH MACRON,E
U+0113,ē,LATIN SMALL LETTER E WITH MACRON,e
U+0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,E
U+0115,ĕ,LATIN SMALL LETTER E WITH BREVE,e
U+0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,E
U+0117,ė,LATIN SMALL LETTER E WITH DOT ABOVE,e
U+0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK,E
U+0119,ę,LATIN SMALL LETTER E WITH OGONEK,e
U+011A,Ě,LATIN CAPITAL LETTER E WITH CARON,E
U+011B,ě,LATIN SMALL LETTER E WITH CARON,e
U+011C,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,G
U+011D,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX,g
U+011E,Ğ,LATIN CAPITAL LETTER G WITH BREVE,G
U+011F,ğ,LATIN SMALL LETTER G WITH BREVE,g
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,G
U+0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE,g
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,G
U+0123,ģ,LATIN SMALL LETTER G WITH CEDILLA,g
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,H
U+0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX,h
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE,LETTER
U+0127,ħ,LATIN SMALL LETTER H WITH STROKE,letter
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,I
U+0129,ĩ,LATIN SMALL LETTER I WITH TILDE,i
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON,I
